problem,C++,C++Link,Java,JavaLink,Python3,Python3Link
"Plus One ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Plus\%20One.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Plus\%20One.java","",""
"Plus One Linked List ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Plus\%20One\%20Linked\%20List.java","",""
"Populating Next Right Pointers in Each Node ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Populating\%20Next\%20Right\%20Pointers\%20in\%20Each\%20Node.cpp","","","",""
"Populating Next Right Pointers in Each Node II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Populating\%20Next\%20Right\%20Pointers\%20in\%20Each\%20Node\%20II.cpp","","","",""
"Pow(x, n) ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Pow(x,\%20n).cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Pow(x,\%20n).java","",""
"Power of Three ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Power\%20of\%20Three.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Power\%20of\%20Three.java","",""
"Power of Two ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Power\%20of\%20Two.cpp","","","",""
"Product of Array Except Self ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Product\%20of\%20Array\%20Except\%20Self.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Product\%20of\%20Array\%20Except\%20Self.java","",""
"Range Sum Query - Immutable ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Range\%20Sum\%20Query\%20-\%20Immutable.cpp","","","",""
"Range Sum Query - Mutable ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Range\%20Sum\%20Query\%20-\%20Mutable.cpp","","","",""
"Range Sum Query 2D - Immutable ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Range\%20Sum\%20Query\%202D\%20-\%20Immutable.cpp","","","",""
"Read N Characters Given Read4 ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Read\%20N\%20Characters\%20Given\%20Read4.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Read\%20N\%20Characters\%20Given\%20Read4.java","",""
"Read N Characters Given Read4 II - Call multiple times ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Read\%20N\%20Characters\%20Given\%20Read4\%20II\%20-\%20Call\%20multiple\%20times.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Read\%20N\%20Characters\%20Given\%20Read4\%20II\%20-\%20Call\%20multiple\%20times.java","",""
"Rectangle Area ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Rectangle\%20Area.cpp","","","",""
"Regular Expression Matching ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Regular\%20Expression\%20Matching.cpp","","","",""
"Remove Duplicates from Sorted Array ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Remove\%20Duplicates\%20from\%20Sorted\%20Array.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Remove\%20Duplicates\%20from\%20Sorted\%20Array.java","",""
"Remove Duplicates from Sorted Array II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Remove\%20Duplicates\%20from\%20Sorted\%20Array\%20II.cpp","","","",""
"Remove Duplicates from Sorted List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Remove\%20Duplicates\%20from\%20Sorted\%20List.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Remove\%20Duplicates\%20from\%20Sorted\%20List.java","",""
"Remove Duplicates from Sorted List II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Remove\%20Duplicates\%20from\%20Sorted\%20List\%20II.cpp","","","",""
"Remove Element ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Remove\%20Element.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Remove\%20Element.java","",""
"Remove Invalid Parentheses ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Remove\%20Invalid\%20Parentheses.cpp","","","",""
"Remove Linked List Elements ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Remove\%20Linked\%20List\%20Elements.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Remove\%20Linked\%20List\%20Elements.java","",""
"Remove Nth Node From End of List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Remove\%20Nth\%20Node\%20From\%20End\%20of\%20List.cpp","","","",""
"Reorder List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Reorder\%20List.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Reorder\%20List.java","",""
"Repeated DNA Sequences ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Repeated\%20DNA\%20Sequences.cpp","","","",""
"Reverse Bits ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Reverse\%20Bits.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Reverse\%20Bits.java","",""
"Reverse Integer ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Reverse\%20Integer.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Reverse\%20Integer.java","",""
"Reverse Linked List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Reverse\%20Linked\%20List.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Reverse\%20Linked\%20List.java","",""
"Reverse Linked List II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Reverse\%20Linked\%20List\%20II.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Reverse\%20Linked\%20List\%20II.java","",""
"Reverse Nodes in k-Group ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Reverse\%20Nodes\%20in\%20k-Group.cpp","","","",""
"Reverse Pairs ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Reverse\%20Pairs.java","",""
"Reverse String ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Reverse\%20String.java","",""
"Reverse String II ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Reverse\%20String\%20II.java","",""
"Reverse Words in a String ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Reverse\%20Words\%20in\%20a\%20String.cpp","","","",""
"Reverse Words in a String II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Reverse\%20Words\%20in\%20a\%20String\%20II.cpp","","","",""
"Roman to Integer ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Roman\%20to\%20Integer.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Roman\%20to\%20Integer.java","",""
"Rotate Array ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Rotate\%20Array.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Rotate\%20Array.java","",""
"Rotate Image ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Rotate\%20Image.cpp","","","",""
"Rotate List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Rotate\%20List.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Rotate\%20List.java","",""
"Same Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Same\%20Tree.cpp","","","",""
"Search Insert Position ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Search\%20Insert\%20Position.cpp","","","",""
"Search a 2D Matrix ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Search\%20a\%202D\%20Matrix.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Search\%20a\%202D\%20Matrix.java","",""
"Search a 2D Matrix II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Search\%20a\%202D\%20Matrix\%20II.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Search\%20a\%202D\%20Matrix\%20II.java","",""
"Search for a Range ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Search\%20for\%20a\%20Range.cpp","","","",""
"Search in Rotated Sorted Array ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Search\%20in\%20Rotated\%20Sorted\%20Array.cpp","","","",""
"Search in Rotated Sorted Array II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Search\%20in\%20Rotated\%20Sorted\%20Array\%20II.cpp","","","",""
"Serialize and Deserialize Binary Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Serialize\%20and\%20Deserialize\%20Binary\%20Tree.cpp","","","",""
"Set Matrix Zeroes ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Set\%20Matrix\%20Zeroes.cpp","","","",""
"Shortest Word Distance ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Shortest\%20Word\%20Distance.cpp","","","",""
"Shortest Word Distance II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Shortest\%20Word\%20Distance\%20II.cpp","","","",""
"Shortest Word Distance III ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Shortest\%20Word\%20Distance\%20III.cpp","","","",""
"Shuffle an Array ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Shuffle\%20an\%20Array.java","",""
"Simplify Path ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Simplify\%20Path.cpp","","","",""
"Single Number ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Single\%20Number.java","python","https://github.com/acgtun/leetcode/tree/master/algorithms/python/Single\%20Number.py"
"Single Number II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Single\%20Number\%20II.cpp","","","",""
"Single Number III ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Single\%20Number\%20III.cpp","","","",""
"Smallest Rectangle Enclosing Black Pixels ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Smallest\%20Rectangle\%20Enclosing\%20Black\%20Pixels.cpp","","","",""
"Sort Colors ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Sort\%20Colors.cpp","","","",""
"Sort List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Sort\%20List.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Sort\%20List.java","",""
"Spiral Matrix ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Spiral\%20Matrix.cpp","","","",""
"Spiral Matrix II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Spiral\%20Matrix\%20II.cpp","","","",""
"Sqrt(x) ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Sqrt(x).cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Sqrt(x).java","",""
"String to Integer (atoi) ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/String\%20to\%20Integer\%20(atoi).java","",""
"Strobogrammatic Number ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Strobogrammatic\%20Number.cpp","","","",""
"Strobogrammatic Number II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Strobogrammatic\%20Number\%20II.cpp","","","",""
"Subsets ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Subsets.cpp","","","",""
"Subsets II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Subsets\%20II.cpp","","","",""
"Substring with Concatenation of All Words ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Substring\%20with\%20Concatenation\%20of\%20All\%20Words.cpp","","","",""
"Sudoku Solver ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Sudoku\%20Solver.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Sudoku\%20Solver.java","",""
"Sum Root to Leaf Numbers ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Sum\%20Root\%20to\%20Leaf\%20Numbers.cpp","","","",""
"Sum of Two Integers ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Sum\%20of\%20Two\%20Integers.java","",""
"Summary Ranges ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Summary\%20Ranges.cpp","","","",""
"Surrounded Regions ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Surrounded\%20Regions.cpp","","","",""
"Swap Nodes in Pairs ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Swap\%20Nodes\%20in\%20Pairs.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Swap\%20Nodes\%20in\%20Pairs.java","",""
"Symmetric Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Symmetric\%20Tree.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Symmetric\%20Tree.java","",""
"The Skyline Problem ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/The\%20Skyline\%20Problem.cpp","","","",""
"Top K Frequent Elements ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Top\%20K\%20Frequent\%20Elements.java","",""
"Trapping Rain Water ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Trapping\%20Rain\%20Water.cpp","","","",""
"Triangle ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Triangle.cpp","","","",""
"Two Sum ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Two\%20Sum.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Two\%20Sum.java","",""
"Two Sum II - Input array is sorted ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Two\%20Sum\%20II\%20-\%20Input\%20array\%20is\%20sorted.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Two\%20Sum\%20II\%20-\%20Input\%20array\%20is\%20sorted.java","",""
"Two Sum III - Data structure design ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Two\%20Sum\%20III\%20-\%20Data\%20structure\%20design.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Two\%20Sum\%20III\%20-\%20Data\%20structure\%20design.java","",""
"Ugly Number ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Ugly\%20Number.cpp","","","python","https://github.com/acgtun/leetcode/tree/master/algorithms/python/Ugly\%20Number.py"
"Ugly Number II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Ugly\%20Number\%20II.cpp","","","",""
"Unique Binary Search Trees ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Unique\%20Binary\%20Search\%20Trees.cpp","","","",""
"Unique Binary Search Trees II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Unique\%20Binary\%20Search\%20Trees\%20II.cpp","","","",""
"Unique Paths ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Unique\%20Paths.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Unique\%20Paths.java","",""
"Unique Paths II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Unique\%20Paths\%20II.cpp","","","",""
"Unique Word Abbreviation ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Unique\%20Word\%20Abbreviation.cpp","","","",""
"Valid Anagram ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Valid\%20Anagram.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Valid\%20Anagram.java","",""
"Valid Palindrome ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Valid\%20Palindrome.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Valid\%20Palindrome.java","",""
"Valid Parentheses ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Valid\%20Parentheses.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Valid\%20Parentheses.java","",""
"Valid Sudoku ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Valid\%20Sudoku.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Valid\%20Sudoku.java","",""
"Validate Binary Search Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Validate\%20Binary\%20Search\%20Tree.cpp","","","",""
"Verify Preorder Serialization of a Binary Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Verify\%20Preorder\%20Serialization\%20of\%20a\%20Binary\%20Tree.cpp","","","",""
"Walls and Gates ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Walls\%20and\%20Gates.cpp","","","",""
"Wiggle Sort ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Wiggle\%20Sort.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Wiggle\%20Sort.java","",""
"Wildcard Matching ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Wildcard\%20Matching.cpp","","","",""
"Word Abbreviation ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Word\%20Abbreviation.java","",""
"Word Break ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Word\%20Break.cpp","","","",""
"Word Break II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Word\%20Break\%20II.cpp","","","",""
"Word Ladder ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Word\%20Ladder.cpp","","","",""
"Word Ladder II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Word\%20Ladder\%20II.cpp","","","",""
"Word Pattern ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Word\%20Pattern.cpp","","","",""
"Word Pattern II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Word\%20Pattern\%20II.cpp","","","",""
"Word Search ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Word\%20Search.cpp","","","",""
"Word Search II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Word\%20Search\%20II.cpp","","","",""
"Zigzag Iterator ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Zigzag\%20Iterator.cpp","","","",""
